geog,Population_2010,Population-Aged-60-and-Over_2010,Unemployed_2010,Labor-Force_2010,College-Graduates_2010,People-in-Poverty_2010,Vacant-Homes_2010,Owner-Occupied-Homes_2010,Renter-Occupied-Homes_2010,Total-Occupied-Homes_2010,Population_2015,Population-Aged-60-and-Over_2015,Unemployed_2015,Labor-Force_2015,College-Graduates_2015,People-in-Poverty_2015,Vacant-Homes_2015,Owner-Occupied-Homes_2015,Renter-Occupied-Homes_2015,Total-Occupied-Homes_2015,Population_2020,Population-Aged-60-and-Over_2020,Unemployed_2020,Labor-Force_2020,College-Graduates_2020,People-in-Poverty_2020,Vacant-Homes_2020,Owner-Occupied-Homes_2020,Renter-Occupied-Homes_2020,Total-Occupied-Homes_2020
17203030700,4472,668,144,2513,751,406,130,1305,338,1643,4583,896,184,2383,1006,763,97,1275,388,1663,4145,1023,106,2144,631,274,152,1209,322,1531
17203030602,3500,500,23,1840,758,199,94,1121,74,1195,3360,705,92,1831,816,84,77,1070,124,1194,4001,964,18,1883,969,89,27,1301,107,1408
17203030601,6286,1480,251,3049,1458,726,129,1583,605,2188,6508,1648,164,3350,1804,583,117,1769,668,2437,6374,1744,182,3226,1393,667,53,1520,991,2511
17203030502,2533,587,62,1404,425,111,99,941,128,1069,2638,621,111,1253,584,481,100,891,173,1064,2616,836,68,1283,296,283,121,898,227,1125
17203030501,7463,1214,101,4062,2505,224,50,2356,236,2592,7779,1293,210,4191,2745,354,203,2561,187,2748,7768,1844,90,3963,2903,91,216,2434,292,2726
17203030400,5239,1083,109,2540,1581,251,59,1636,387,2023,5717,1288,116,2601,1431,488,155,1503,507,2010,5555,1381,74,2838,1560,282,89,1864,317,2181
17203030300,2973,677,73,1451,470,240,45,952,158,1110,2990,804,64,1612,735,61,76,932,209,1141,2626,697,28,1305,373,64,85,757,221,978
17203030200,3339,770,84,1709,539,289,86,1058,292,1350,2961,711,96,1496,572,164,53,959,209,1168,2923,676,100,1510,323,188,118,956,233,1189
17203030100,2421,503,60,1341,452,144,87,866,156,1022,2570,509,136,1261,447,127,97,703,222,925,2495,654,34,1151,352,252,112,868,135,1003
17201980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,4,4
17201004300,5021,904,89,2647,1049,245,23,1664,332,1996,5098,1014,189,2660,1085,277,267,1673,334,2007,4675,1202,122,2522,780,144,37,1712,212,1924
17201004200,6426,1029,159,3617,1395,202,46,1859,250,2109,6371,1258,141,3567,1545,342,121,1931,344,2275,6451,1599,105,3645,1073,408,88,2180,302,2482
17201004100,5206,1365,166,2505,1237,232,299,1758,244,2002,5077,1577,296,2701,1150,260,368,1775,291,2066,5030,1460,176,2686,909,147,426,1667,265,1932
17201004005,2991,127,0,0,641,33,49,759,60,819,2901,342,72,1592,703,135,0,968,54,1022,3307,415,30,1879,513,114,21,1038,48,1086
17201004004,5913,903,0,0,829,949,238,1558,466,2024,5957,842,282,3089,1015,625,266,1529,626,2155,5842,903,140,3067,588,564,313,1510,799,2309
17201004003,2005,405,90,988,259,461,84,619,190,809,2096,540,82,1038,258,436,48,710,159,869,2020,490,64,976,136,508,90,705,163,868
17201004002,6400,1235,297,3350,1436,131,169,1954,458,2412,6926,1547,297,3844,1564,390,61,1979,693,2672,5952,1438,151,3231,858,556,95,1852,598,2450
17201003904,4726,747,196,2793,899,234,84,1243,559,1802,4664,1078,168,2601,1062,192,101,1453,449,1902,4613,954,199,2601,971,349,32,1385,384,1769
17201003903,5807,1095,205,3118,1729,71,151,1927,67,1994,5983,1308,216,3287,2093,155,126,2065,31,2096,5817,1600,146,2920,1700,313,30,2072,56,2128
17201003901,4745,629,122,2466,1337,75,30,1439,143,1582,4682,891,147,2345,1398,323,108,1415,233,1648,5062,1217,57,2666,1217,198,99,1625,176,1801
17201003811,1975,227,0,0,390,82,0,541,41,582,1465,374,107,945,293,35,39,477,48,525,1408,285,22,864,393,87,53,450,73,523
17201003810,5967,946,0,0,1937,378,193,1862,521,2383,6229,1075,131,3544,2166,383,257,2066,513,2579,6153,1441,333,3592,1666,729,139,1804,709,2513
17201003809,4224,888,244,2615,953,337,289,1340,646,1987,4798,1048,383,2685,1033,542,119,1252,1000,2252,4354,1085,93,2300,632,515,133,1454,655,2109
17201003808,3975,732,217,2354,817,301,62,1132,326,1458,3821,925,149,2072,689,214,57,1024,395,1419,3772,967,250,2290,463,215,83,1210,315,1525
17201003806,4423,494,229,2589,1139,40,43,1369,101,1470,4814,760,170,2876,1348,209,49,1460,179,1639,5051,971,102,2741,1428,85,24,1554,171,1725
17201003805,7195,1132,334,4107,1332,448,153,2435,236,2671,7114,1612,183,4056,1293,310,72,2230,475,2705,7389,1746,237,4029,1229,684,42,2453,329,2782
17201003801,5875,1093,172,2567,1222,916,242,1334,358,1692,6258,1386,276,3508,1555,573,138,1793,547,2340,6100,1878,154,3047,1118,157,302,1726,504,2230
17201003711,4544,863,192,2424,653,312,200,1496,230,1726,4763,1019,219,2440,752,539,186,1477,340,1817,3921,1018,104,2017,449,391,109,1282,310,1592
17201003710,2654,523,137,1536,639,111,33,852,146,998,2458,610,101,1365,628,25,51,747,190,937,2496,620,31,1192,412,144,40,756,197,953
17201003709,1926,292,231,1079,191,245,83,477,189,666,1706,197,112,799,193,499,32,269,362,631,1788,252,90,813,105,588,29,301,307,608
17201003708,3076,317,275,1665,424,574,225,672,491,1163,2830,403,240,1507,409,755,113,514,577,1091,3372,419,127,1781,338,769,127,731,536,1267
17201003707,3621,455,180,2188,479,691,343,515,1317,1832,3888,546,107,2451,715,637,206,461,1445,1906,3451,540,262,2258,503,495,136,528,1276,1804
17201003706,6605,1413,346,3348,1125,350,91,2362,46,2408,6439,1472,376,3067,1245,490,158,2202,110,2312,5317,1376,223,2942,635,117,56,1842,279,2121
17201003705,5262,1031,183,3037,1160,387,137,1795,99,1894,5003,1437,170,2685,1441,188,33,1750,301,2051,4824,1314,98,2724,992,144,66,1850,190,2040
17201003606,3054,472,161,1489,286,648,49,807,393,1200,2691,466,135,1270,348,718,153,663,378,1041,2849,809,219,1581,413,310,171,897,338,1235
17201003605,2765,869,85,818,455,391,153,190,592,782,1933,917,160,664,361,371,156,246,545,791,2302,1106,116,810,303,388,179,220,820,1040
17201003604,3310,676,133,1561,316,276,149,865,385,1250,2803,792,202,1421,384,499,128,819,440,1259,2749,689,114,1062,260,654,145,642,533,1175
17201003602,3936,1006,192,1590,600,1253,151,793,814,1607,3785,1069,214,1447,571,931,239,773,818,1591,4013,1262,160,1580,630,1290,96,804,1067,1871
17201003601,1990,502,80,939,308,450,52,641,120,761,1614,472,128,833,260,297,122,523,182,705,1821,477,79,1036,160,264,60,644,126,770
17201003500,2520,408,88,1546,836,169,52,757,396,1153,2541,602,45,1298,888,85,60,698,440,1138,2247,768,10,1095,731,154,173,820,275,1095
17201003400,4432,602,267,2266,453,1003,179,1361,380,1741,5019,742,287,2462,663,672,154,1162,583,1745,4770,1096,143,2244,480,1074,76,1168,752,1920
17201003300,4309,370,369,1956,234,1398,127,735,796,1531,3407,455,228,1510,336,1281,255,697,582,1279,3610,532,122,1805,214,797,194,705,600,1305
17201003200,3589,401,314,1282,201,1964,245,594,683,1277,3691,424,545,1608,264,1406,204,392,799,1191,3368,397,162,1509,88,1273,69,499,588,1087
17201003100,4485,507,407,2346,660,1666,302,609,1166,1775,3815,296,229,1974,518,1444,271,601,1069,1670,3256,507,262,1743,509,1307,376,445,1067,1512
17201003000,1686,306,98,935,763,128,96,535,273,808,1709,335,113,1051,540,236,70,485,288,772,1879,405,108,1117,534,186,35,563,284,847
